clip_id,filename,duration_s,resolution,fps,codec,pix_fmt,file_size_mb,short_lt_5s,long_gt_15s,below_vjepa2_min,portrait
IMG_1161_w1,IMG_1161_w1.mov,9.521,2160x3840,59.97,h264,yuvj420p,44.5,FALSE,FALSE,FALSE,TRUE
IMG_1161_w2,IMG_1161_w2.mov,9.521,2160x3840,59.97,h264,yuvj420p,45.3,FALSE,FALSE,FALSE,TRUE
IMG_1046_w1,IMG_1046_w1.mov,9.838,1080x1920,59.97,h264,yuvj420p,19.6,FALSE,FALSE,FALSE,TRUE
IMG_1046_w2,IMG_1046_w2.mov,9.838,1080x1920,59.97,h264,yuvj420p,20.2,FALSE,FALSE,FALSE,TRUE
IMG_1013_w1,IMG_1013_w1.mov,10.021,1080x1920,59.97,h264,yuvj420p,20.2,FALSE,FALSE,FALSE,TRUE
IMG_1013_w2,IMG_1013_w2.mov,10.021,1080x1920,59.97,h264,yuvj420p,20.3,FALSE,FALSE,FALSE,TRUE
IMG_1121_w1,IMG_1121_w1.mov,10.322,2160x3840,59.97,h264,yuvj420p,48.3,FALSE,FALSE,FALSE,TRUE
IMG_1121_w2,IMG_1121_w2.mov,10.322,2160x3840,59.97,h264,yuvj420p,50.1,FALSE,FALSE,FALSE,TRUE
IMG_1136_w1,IMG_1136_w1.mov,10.338,2160x3840,59.97,h264,yuvj420p,48.3,FALSE,FALSE,FALSE,TRUE
IMG_1136_w2,IMG_1136_w2.mov,10.338,2160x3840,59.97,h264,yuvj420p,50.3,FALSE,FALSE,FALSE,TRUE
IMG_1089_w1,IMG_1089_w1.mov,10.546,2160x3840,59.97,h264,yuvj420p,49.3,FALSE,FALSE,FALSE,TRUE
IMG_1089_w2,IMG_1089_w2.mov,10.546,2160x3840,59.97,h264,yuvj420p,50.3,FALSE,FALSE,FALSE,TRUE
IMG_1078_w1,IMG_1078_w1.mov,10.963,1080x1920,59.97,h264,yuvj420p,21.6,FALSE,FALSE,FALSE,TRUE
IMG_1078_w2,IMG_1078_w2.mov,10.963,1080x1920,59.97,h264,yuvj420p,22.7,FALSE,FALSE,FALSE,TRUE
IMG_1045_w1,IMG_1045_w1.mov,11.030,1080x1920,59.97,h264,yuvj420p,21.8,FALSE,FALSE,FALSE,TRUE
IMG_1045_w2,IMG_1045_w2.mov,11.030,1080x1920,59.97,h264,yuvj420p,22.0,FALSE,FALSE,FALSE,TRUE
IMG_1132_w1,IMG_1132_w1.mov,11.046,2160x3840,59.97,h264,yuvj420p,51.9,FALSE,FALSE,FALSE,TRUE
IMG_1132_w2,IMG_1132_w2.mov,11.046,2160x3840,59.97,h264,yuvj420p,52.4,FALSE,FALSE,FALSE,TRUE
IMG_1014_w1,IMG_1014_w1.mov,11.424,1080x1920,59.96,h264,yuvj420p,22.5,FALSE,FALSE,FALSE,TRUE
IMG_1014_w2,IMG_1014_w2.mov,11.424,1080x1920,59.96,h264,yuvj420p,23.5,FALSE,FALSE,FALSE,TRUE
IMG_1143_w1,IMG_1143_w1.mov,11.589,2160x3840,59.97,h264,yuvj420p,54.2,FALSE,FALSE,FALSE,TRUE
IMG_1143_w2,IMG_1143_w2.mov,11.589,2160x3840,59.97,h264,yuvj420p,54.9,FALSE,FALSE,FALSE,TRUE
IMG_1043_w1,IMG_1043_w1.mov,11.631,1080x1920,59.97,h264,yuvj420p,23.0,FALSE,FALSE,FALSE,TRUE
IMG_1043_w2,IMG_1043_w2.mov,11.631,1080x1920,59.97,h264,yuvj420p,23.3,FALSE,FALSE,FALSE,TRUE
IMG_1116_w1,IMG_1116_w1.mov,11.764,2160x3840,59.97,h264,yuvj420p,54.9,FALSE,FALSE,FALSE,TRUE
IMG_1116_w2,IMG_1116_w2.mov,11.764,2160x3840,59.97,h264,yuvj420p,56.6,FALSE,FALSE,FALSE,TRUE
IMG_1065_w1,IMG_1065_w1.mov,11.814,1080x1920,59.97,h264,yuvj420p,23.4,FALSE,FALSE,FALSE,TRUE
IMG_1065_w2,IMG_1065_w2.mov,11.814,1080x1920,59.97,h264,yuvj420p,24.1,FALSE,FALSE,FALSE,TRUE
IMG_1127_w1,IMG_1127_w1.mov,11.947,2160x3840,59.97,h264,yuvj420p,55.8,FALSE,FALSE,FALSE,TRUE
IMG_1127_w2,IMG_1127_w2.mov,11.947,2160x3840,59.97,h264,yuvj420p,58.8,FALSE,FALSE,FALSE,TRUE
IMG_1148_w1,IMG_1148_w1.mov,12.231,2160x3840,59.97,h264,yuvj420p,57.2,FALSE,FALSE,FALSE,TRUE
IMG_1148_w2,IMG_1148_w2.mov,12.231,2160x3840,59.97,h264,yuvj420p,58.5,FALSE,FALSE,FALSE,TRUE
IMG_1068_w1,IMG_1068_w1.mov,12.256,1080x1920,59.97,h264,yuvj420p,24.2,FALSE,FALSE,FALSE,TRUE
IMG_1068_w2,IMG_1068_w2.mov,12.256,1080x1920,59.97,h264,yuvj420p,24.8,FALSE,FALSE,FALSE,TRUE
IMG_1016_w1,IMG_1016_w1.mov,12.464,1080x1920,59.97,h264,yuvj420p,24.5,FALSE,FALSE,FALSE,TRUE
IMG_1016_w2,IMG_1016_w2.mov,12.464,1080x1920,59.97,h264,yuvj420p,25.6,FALSE,FALSE,FALSE,TRUE
IMG_1100_w1,IMG_1100_w1.mov,12.489,2160x3840,59.97,h264,yuvj420p,58.3,FALSE,FALSE,FALSE,TRUE
IMG_1100_w2,IMG_1100_w2.mov,12.489,2160x3840,59.97,h264,yuvj420p,61.1,FALSE,FALSE,FALSE,TRUE
IMG_1084_w1,IMG_1084_w1.mov,8.398,2160x3840,59.97,h264,yuvj420p,39.2,FALSE,FALSE,FALSE,TRUE
IMG_1084_w2,IMG_1084_w2.mov,8.398,2160x3840,59.97,h264,yuvj420p,41.4,FALSE,FALSE,FALSE,TRUE
IMG_1084_w3,IMG_1084_w3.mov,8.398,2160x3840,59.97,h264,yuvj420p,41.0,FALSE,FALSE,FALSE,TRUE
IMG_1144_w1,IMG_1144_w1.mov,8.665,2160x3840,59.97,h264,yuvj420p,40.4,FALSE,FALSE,FALSE,TRUE
IMG_1144_w2,IMG_1144_w2.mov,8.665,2160x3840,59.97,h264,yuvj420p,41.5,FALSE,FALSE,FALSE,TRUE
IMG_1144_w3,IMG_1144_w3.mov,8.665,2160x3840,59.97,h264,yuvj420p,42.4,FALSE,FALSE,FALSE,TRUE
IMG_1113_w1,IMG_1113_w1.mov,8.860,2160x3840,59.97,h264,yuvj420p,41.4,FALSE,FALSE,FALSE,TRUE
IMG_1113_w2,IMG_1113_w2.mov,8.860,2160x3840,59.97,h264,yuvj420p,43.5,FALSE,FALSE,FALSE,TRUE
IMG_1113_w3,IMG_1113_w3.mov,8.860,2160x3840,59.97,h264,yuvj420p,42.7,FALSE,FALSE,FALSE,TRUE
IMG_1152_w1,IMG_1152_w1.mov,8.982,2160x3840,59.97,h264,yuvj420p,42.0,FALSE,FALSE,FALSE,TRUE
IMG_1152_w2,IMG_1152_w2.mov,8.982,2160x3840,59.97,h264,yuvj420p,44.3,FALSE,FALSE,FALSE,TRUE
IMG_1152_w3,IMG_1152_w3.mov,8.982,2160x3840,59.97,h264,yuvj420p,44.4,FALSE,FALSE,FALSE,TRUE
IMG_1023_w1,IMG_1023_w1.mov,9.099,1080x1920,59.97,h264,yuvj420p,18.3,FALSE,FALSE,FALSE,TRUE
IMG_1023_w2,IMG_1023_w2.mov,9.099,1080x1920,59.97,h264,yuvj420p,18.3,FALSE,FALSE,FALSE,TRUE
IMG_1023_w3,IMG_1023_w3.mov,9.099,1080x1920,59.97,h264,yuvj420p,18.6,FALSE,FALSE,FALSE,TRUE
IMG_1138_w1,IMG_1138_w1.mov,9.232,2160x3840,59.97,h264,yuvj420p,43.2,FALSE,FALSE,FALSE,TRUE
